Flir;TemperatureBulbo2(Cm);TemperatureBulbo5(Cm);TemperatureBulbo10(Cm);TemperatureBulbo20(Cm);TemperatureBulbo30(Cm)
29.467;27.4;26;24.7;26.5;26.4
41.682;41.4;38.6;33.8;30.2;29
26.082;26.4;26.6;26.2;27;26.5
14.672;18.5;19.2;20.7;24.2;24.2
23.583;24;22.6;21.6;24.3;24
20.691;23.5;21.6;20.5;22.6;22.6
31.751;32.4;31.1;28.6;25.8;25.6
13.044;16.8;17.6;19.3;22.7;22.6
15.451;19.2;19.6;21.4;24.2;24.2
28.74;27.5;24.6;22.8;24;24.6
36.377;36.5;35.4;31.4;27.7;27.1
22.69;22.6;23.6;25.4;26.4;25.6
19.404;19.9;20.2;20.8;23.4;23.5
22.763;23;22.6;21.7;23.4;23.1
22.783;22.3;21.2;20.7;22.4;22.5
28.14;28.2;27.6;25.5;24.2;23.9
14.973;17.4;17.9;18.5;22.1;22
12.371;16.8;17.4;18.2;22.4;22
23.544;23.6;21.4;20.4;22.5;22.2
29.86;32.3;32.4;29.7;26.1;25.6
39.994;37.7;35.5;31;27.6;25.8
16.45;18.5;19.3;21.5;24.1;23.7
21.534;21.8;21.6;21.3;23.8;23.7
28.765;26.6;23.2;22;23.4;23.4
42.851;40.4;37.6;32.3;27.6;26.7
17.048;20.4;20.6;22.4;24.7;24.4
19.814;22.3;22.4;22.7;25.4;25.6
23.485;23.2;23.2;23.5;25.2;25
33.267;31;28.9;26.5;25.6;25.5
31.732;31.4;30.4;28.4;25.5;24.6
11.833;15;15.7;16.4;22.6;22.1
21.548;21.7;20.3;19.8;22.4;21.8
37.041;36.2;34.5;30.3;25.8;25.2
8.994;14.3;15.3;18;22.2;22.4
20.515;21.8;19.6;19.4;22;22.3
22.57;23.7;21.6;21.4;23;23.2
37.917;37.2;35.6;31;26.4;26.6
13.763;17.5;18.5;20.6;23.6;23.6
13.582;17.6;18.4;20.5;23.6;23.7
26.715;23.5;21.6;21.4;23.5;23.7
40.074;39.4;36.7;31.5;27.2;26.4
36.265;38.2;35.8;31.4;27.2;26.4
18.128;20.6;21.1;22.2;24.7;24.6
20.536;21.2;21.7;21.9;24.1;24.5
33.279;33.7;33.6;30.4;26.3;25.5
17.474;18.7;19.4;21.6;24.3;24
25.885;24;22.6;22;24.2;24.2
26.343;25;23.8;23;24.6;24.4
24.985;25.5;26.6;26.3;26.2;25.4
18.468;19.7;20.4;21;23;22.5
16.457;17.6;18.2;19.5;21.6;21.4
18.93;19.4;19.6;19.7;21.6;21.4
23.59;24.5;25.4;24.7;24.5;23.4
19.431;19.6;19.7;20.7;22.6;22.2
22.869;22.6;22.3;23.4;22.5;22.3
18.627;19.6;19.8;19.8;21.6;21.5
30.32;31.2;31.1;27;24.1;23.6
13.088;16.4;17.2;18;21.8;21.7
14.11;17.7;18.3;19.7;22.3;22.2
22.03;21.6;21.6;20.6;22.1;22.2
30.89;32.4;31.5;28;25.2;24.3
35.733;36.2;34.6;30.6;25.8;25.4
13.865;17.6;18.6;20.6;23.4;23.3
22.09;22;21.6;21.4;23.2;23.2
21.91;22.2;22.1;21.5;23.6;22.6
34.044;35.1;33.6;29.7;26.3;25.7
10.293;16;16.9;19;22.7;22.3
11.374;15.5;17.2;19.4;22.6;22.4
24.077;21.4;21;20.4;22.3;22.5
35.401;35.6;33.6;29;25.6;24.7
36.206;35.2;32.6;28.5;25.4;24.7
18.475;19.7;20.2;21.6;23.2;22.7
22.284;21.6;21.6;21.4;23;22.6
20.386;17.3;17.6;18.4;20.6;20.4
6.146;12.6;14.2;16.5;20.7;20.6
37.457;35.5;33.4;29.4;25.6;25
13.379;18.4;19.4;21.4;23.5;23.2
30.215;23.7;23.1;21.8;23.6;23.4
26.137;23;22.7;21.6;23.5;22.4
37.818;37.4;35.5;30.6;26.6;26.5
11.53;16.4;17.7;20.4;23.6;23.2
15.065;17.4;19;21.5;23.6;23.3
26.599;22.2;22.6;22.4;23.4;23.4
19.712;22.4;24;25.3;24.8;24
32.423;31.7;30.6;26.5;23.1;22.5
2.25;6.8;10.4;13.9;19;19.4
15.735;14.3;14.7;14.8;18.6;19.5
19.534;19.7;18.7;18.7;20.5;20.3
20.005;21.4;21.3;20.4;20.8;20.6
12.81;15.4;16;17;19.2;19.2
10.112;14;15;16.7;19.6;19.4
19.425;19.2;18.8;18;19.6;19.6
33.23;32.7;31.6;27.3;28.1;22.1
33.774;32.9;31.6;27;23.1;22
5.438;13;13.5;15.6;19.8;19.8
20.332;17.5;17.5;17;19.7;19.7
19.006;18;17.7;17.5;20.2;20
35.875;35.3;32.7;27.5;23.4;22
8.154;12.6;13.8;16.9;21;20.5
11.122;15.4;17.6;19.5;21.9;21.3
24.496;21;20.8;20.4;21.6;21.4
37.544;36.6;34.4;29.2;24.6;24
36.224;34.3;32.4;27.5;24.2;23.3
10.135;14.8;16.5;18.6;21.6;21.4
20.441;19.7;19.4;18.5;21.4;21.4
21.99;19.4;21.3;19.4;21.4;20.9
34.464;33.8;32.3;27.4;24;23.3
8.184;14.2;15.5;17.2;21.4;21
5.438;12.1;14;16.5;20.7;20.5
20.948;17.5;17.8;17.9;20.6;20.4
37.059;34.3;31.8;26.7;23.4;22.8
5.856;12.4;13.9;16.4;20.6;20.3
21.534;17.7;17.6;17.4;20;20
33.972;34.4;32.2;26.6;23.2;22.7
34.464;34.3;32.4;27.3;23.1;22.4
6.334;12.3;14.2;16.6;20.7;20.2
20.148;17.7;18;18.3;20.5;20.4
