SOC,Silt,Sand,Clay
11,12,73,14
15,13,61,26
13,14,68,18
13,15,62,23
11,13,70,17
16,13,62,24
10,16,66,18
13,16,47,36
10,12,63,25
11,11,67,21
14,12,66,22
14,14,64,22
17,14,62,24
10,16,61,23
9,12,65,23
15,17,58,25
12,14,66,20
14,17,61,22
15,12,62,25
18,16,60,24
18,18,59,23
12,17,59,23
17,16,67,18
12,13,66,20
14,13,65,21
14,15,64,22
13,15,43,43
13,15,67,18
12,14,59,27
14,16,69,15
11,11,67,21
14,15,62,23
15,16,62,22
11,11,62,26
14,12,65,23
14,17,61,22
20,20,55,24
11,16,62,21
9,13,62,25
12,15,48,37
13,16,59,25
10,14,62,24
10,16,54,30
12,15,65,19
13,12,67,21
14,12,70,18
12,13,67,21
11,15,63,22
12,15,62,23
12,12,66,22
10,14,66,20
14,16,58,26
12,20,50,30
12,15,59,26
12,12,64,24
14,15,61,23
9,15,63,22
10,12,65,23
12,16,50,34
10,13,62,26
13,18,62,20
14,15,65,20
14,16,63,20
12,11,70,19
10,12,70,17
13,17,58,25
12,15,65,20
15,18,59,23
18,22,41,37
20,23,54,24
13,16,62,22
15,17,63,20
16,16,60,24
13,17,59,24
14,22,52,26
13,16,64,19
15,15,65,20
12,14,61,25
11,15,65,19
8,12,70,18
12,15,65,20
13,12,66,22
16,13,53,34
16,14,57,29
12,13,63,23
12,15,66,19
12,12,68,20
15,14,64,21
13,19,61,20
11,16,62,22
18,19,59,22
9,16,66,19
13,15,64,21
13,12,64,23
11,16,64,19
13,17,64,19
12,15,62,23
15,15,66,19
10,12,65,23
17,15,62,22
12,15,62,23
14,18,56,26
16,13,67,20
12,16,62,22
13,15,57,28
10,14,66,20
14,12,59,29
10,15,65,20
10,15,57,28
12,12,69,19
12,14,61,25
12,13,64,23
11,10,66,24
11,17,61,22
15,14,64,21
14,17,59,24
10,20,60,20
8,12,60,28
14,14,47,39
13,16,63,21
11,14,65,21
11,12,64,23
16,17,43,39
11,13,72,15
11,15,57,28
11,12,66,23
17,13,60,27
13,14,57,29
15,18,59,23
15,15,53,32
12,16,62,22
14,12,68,20
14,17,60,23
13,15,51,34
13,17,64,19
14,13,69,18
11,15,63,21
13,14,65,21
11,17,63,20
12,14,64,21
13,15,48,37
13,19,61,21
12,14,62,24
14,17,66,16
16,21,43,37
12,14,67,19
11,15,67,18
15,13,64,23
10,13,68,18
13,11,67,22
13,12,55,33
12,15,63,22
15,14,54,32
16,13,65,23
8,17,64,19
14,15,59,26
12,12,62,26
13,13,65,22
15,16,60,24
14,16,63,21
13,15,60,25
11,12,68,20
11,15,53,32
15,20,58,22
14,16,61,23
14,15,65,20
11,13,66,21
12,15,63,21
14,13,64,23
12,12,63,24
13,13,61,26
11,12,66,22
9,17,61,22
11,14,52,34
12,14,66,20
20,20,55,24
13,11,70,19
13,14,64,22
11,13,70,17
17,18,59,23
11,13,65,21
17,22,55,23
12,16,65,20
13,15,52,33
12,13,54,33
13,17,46,37
10,12,66,23
14,15,66,19
14,15,62,23
14,17,60,23
16,17,44,39
11,14,64,22
10,18,63,20
15,13,60,28
13,15,63,22
16,17,60,23
11,14,65,20
12,12,68,20
13,13,62,25
12,13,65,22
16,17,59,24
14,13,64,23
12,13,65,22
10,12,65,22
13,17,59,24
12,14,64,22
10,13,67,20
13,18,60,23
13,15,63,22
14,14,66,20
16,11,69,20
13,14,64,22
8,12,73,16
15,12,61,27
15,19,59,21
11,16,64,20
12,14,56,30
13,14,67,18
16,13,63,24
16,12,66,22
11,12,69,19
10,12,69,20
18,19,49,32
8,14,62,24
11,16,60,25
15,19,60,20
13,18,61,21
14,17,59,24
13,16,63,21
11,15,62,23
9,12,61,26
14,14,64,21
12,17,57,26
14,16,61,22
14,15,63,22
9,17,65,19
14,13,68,19
11,16,56,28
14,17,61,22
16,12,66,23
12,16,65,19
12,15,62,23
13,14,47,39
14,11,68,21
14,15,62,23
10,16,61,23
12,15,60,25
13,16,62,22
9,12,68,20
18,17,61,22
10,11,64,25
12,13,66,22
11,10,63,27
17,17,53,30
13,12,67,20
17,16,60,24
11,12,63,24
10,12,67,20
13,11,64,25
12,13,67,20
16,14,56,30
15,16,60,24
12,18,59,23
15,19,55,26
15,13,67,20
10,13,65,22
15,19,59,22
13,11,69,20
11,19,57,24
13,18,63,19
13,18,60,22
12,18,63,20
12,14,63,22
13,13,57,30
12,14,62,24
17,18,60,22
12,16,60,24
14,20,54,26
12,15,62,23
17,18,59,23
14,13,66,21
15,17,61,22
15,16,56,28
15,13,61,26
13,19,47,34
11,16,64,19
16,16,58,25
14,15,62,23
19,18,54,27
11,12,62,26
13,16,60,24
14,11,70,19
15,13,62,25
14,16,61,23
14,11,67,22
12,16,63,21
12,13,68,19
13,14,67,19
17,14,65,22
13,12,69,19
12,15,61,24
14,14,57,29
10,11,68,20
13,14,64,23
14,15,51,34
14,13,60,28
10,13,66,21
10,17,58,25
12,13,70,17
15,17,61,22
12,17,56,27
11,12,67,21
14,18,61,21
7,10,69,21
16,14,49,37
14,15,65,20
14,14,64,21
11,15,66,20
13,20,56,24
13,17,64,20
15,14,62,23
15,16,56,28
18,12,68,20
16,14,60,26
11,13,66,21
12,16,60,24
12,18,61,22
16,14,63,22
11,19,59,22
13,13,63,24
11,11,53,36
17,13,66,21
18,19,60,21
11,15,67,19
15,19,54,27
15,17,61,22
13,12,67,21
10,13,65,22
10,13,70,17
12,10,67,23
12,11,70,19
12,15,64,21
13,20,58,22
15,20,57,23
10,15,66,19
14,15,62,23
13,13,61,26
14,18,37,45
13,17,64,19
16,15,51,34
12,14,63,23
11,16,64,20
11,16,60,24
12,15,66,19
9,12,65,23
12,13,66,21
15,11,66,23
14,18,59,23
14,15,65,21
12,14,67,19
15,13,67,20
11,17,66,17
14,14,64,22
10,18,64,19
17,11,66,23
9,16,63,20
13,16,59,25
16,15,57,27
17,18,56,26
12,14,61,24
12,16,60,24
10,13,63,24
11,17,61,22
12,14,63,23
12,12,69,19
14,12,53,35
16,18,59,23
16,19,56,25
15,14,67,20
13,16,62,22
16,17,60,23
11,15,63,22
11,16,64,20
13,18,60,22
15,14,64,22
19,14,60,26
15,16,65,19
12,13,65,23
16,14,59,28
14,16,61,23
13,15,61,24
12,16,64,20
13,14,65,21
16,12,54,35
11,11,68,21
14,16,53,31
10,15,64,21
12,15,65,19
15,15,64,21
14,14,62,23
13,12,61,27
16,15,62,23
18,17,56,27
15,18,59,23
15,16,58,25
14,14,66,19
14,18,58,24
11,13,63,24
10,13,62,25
13,17,60,23
11,14,69,18
10,13,68,19
10,15,68,17
14,18,60,22
12,11,69,20
10,14,62,24
16,14,62,24
9,11,65,24
17,16,57,27
13,15,68,17
13,15,65,20
12,13,65,23
15,14,48,38
15,14,51,35
13,14,53,33
16,20,57,23
17,13,59,28
13,12,62,25
12,17,60,23
16,18,55,26
14,14,59,27
9,13,67,20
14,11,65,23
17,14,55,31
12,11,66,23
12,15,63,22
12,17,57,26
13,16,60,24
14,16,64,20
13,11,59,30
17,19,43,38
12,16,62,22
12,15,62,23
14,13,64,23
11,13,69,18
13,15,60,25
14,10,71,19
11,12,69,20
13,12,64,25
11,15,65,20
13,17,62,21
11,14,68,18
13,14,70,15
13,16,62,22
17,17,64,19
15,17,62,20
11,16,64,20
11,17,52,31
14,16,60,24
10,14,57,29
10,11,67,21
16,11,54,35
12,19,59,23
15,17,52,31
10,15,64,21
18,15,64,21
15,14,66,20
14,15,58,26
12,18,62,21
14,14,64,22
15,13,61,26
11,15,60,25
17,17,61,22
13,19,60,21
14,23,53,24
12,16,56,28
12,14,49,37
11,13,69,18
16,14,66,19
14,16,62,22
11,12,67,21
16,14,65,21
12,12,65,23
12,15,65,20
12,15,65,20
13,18,59,23
12,12,57,31
15,12,68,20
12,13,59,28
13,14,64,23
10,12,70,18
11,14,59,27
15,14,53,33
12,13,66,20
12,16,64,21
12,12,65,23
11,11,69,20
11,13,72,15
14,13,63,23
13,12,62,25
12,18,64,19
13,13,61,26
19,18,59,23
13,12,64,24
12,14,68,19
15,16,63,21
15,16,59,26
13,17,65,19
14,16,58,26
11,16,59,25
12,18,58,24
16,20,55,25
15,13,66,21
14,13,62,25
13,14,61,25
11,14,63,22
19,16,49,35
16,12,68,20
16,16,61,23
14,15,64,20
12,15,65,19
15,14,65,21
14,15,61,24
14,13,61,26
14,16,64,20
12,12,69,19
12,17,60,23
10,14,64,22
13,9,64,28
17,16,61,23
13,16,58,26
11,15,66,19
14,13,62,24
16,22,56,23
15,15,62,23
14,13,65,22
13,13,60,28
16,15,63,22
14,13,54,33
13,15,59,26
9,16,66,18
12,15,65,20
12,15,66,19
10,12,68,20
15,14,57,29
10,12,60,28
17,13,64,22
11,15,66,19
12,15,65,19
13,14,65,20
13,14,62,24
13,15,63,22
9,12,62,26
14,10,69,21
15,16,63,21
17,17,58,25
16,16,62,22
15,15,62,23
13,17,58,25
11,15,50,35
12,14,68,18
13,14,56,30
17,18,57,25
14,16,61,23
16,16,65,20
18,16,61,23
11,18,57,24
12,15,64,22
13,11,66,23
14,17,61,22
13,15,63,22
11,14,64,22
15,16,62,22
13,12,47,40
17,14,62,24
15,14,66,20
14,14,54,32
9,12,61,27
13,16,61,23
13,12,62,26
12,15,63,22
15,15,47,38
9,12,72,16
13,14,61,25
18,15,48,36
10,17,66,17
15,16,62,22
12,15,70,14
14,16,60,24
13,15,63,22
13,16,60,24
12,15,60,25
13,16,61,23
13,12,66,22
11,15,62,23
15,15,62,22
12,14,53,33
11,18,47,35
14,12,61,28
10,13,63,24
12,14,66,20
11,14,68,18
14,13,63,24
11,15,66,19
13,14,60,26
11,14,63,23
16,13,61,26
11,11,67,21
13,13,66,21
10,14,61,24
11,13,59,27
12,19,57,24
12,15,62,23
10,11,61,28
15,13,63,24
10,12,65,23
12,12,65,23
14,15,63,22
14,17,59,25
10,13,63,25
13,18,61,21
17,14,66,21
15,14,63,23
11,14,63,22
12,13,65,22
14,15,52,33
12,14,69,17
12,14,64,22
11,13,65,22
13,18,59,24
13,17,62,21
14,14,63,23
10,14,68,18
13,14,66,20
16,15,67,19
12,12,61,28
12,13,64,23
10,15,65,20
13,14,65,21
17,15,53,32
12,12,64,24
15,15,64,21
14,15,67,18
14,14,59,27
10,10,61,29
11,12,64,24
11,16,63,22
12,14,61,25
12,14,66,20
11,14,66,20
16,13,55,32
12,14,69,17
17,17,65,19
14,13,67,20
17,17,60,22
15,12,64,24
10,15,65,21
13,16,51,33
11,15,63,22
13,16,64,21
13,14,61,25
14,15,61,24
13,15,64,21
15,15,49,36
19,21,53,26
12,16,61,23
13,15,65,20
13,14,53,33
12,12,56,32
18,20,56,23
11,12,65,23
15,12,65,22
10,14,66,20
13,13,65,21
12,13,51,37
16,19,57,24
9,15,66,19
15,13,60,27
12,14,62,23
14,12,68,20
11,16,50,34
17,17,61,22
13,11,68,21
12,14,64,22
15,13,62,25
8,15,61,24
10,14,66,20
16,13,67,20
12,13,65,22
14,13,60,27
11,17,63,19
16,18,58,24
12,12,55,32
18,16,62,21
12,15,66,19
17,14,47,39
18,14,68,18
12,14,60,26
15,18,62,20
15,15,60,26
18,18,60,23
13,14,64,22
9,13,67,20
11,12,66,21
14,13,66,20
15,19,58,23
13,16,45,39
13,13,68,19
14,17,45,38
12,13,60,27
14,14,62,24
14,10,65,24
9,9,72,19
14,14,66,20
10,13,67,19
18,13,60,27
12,11,62,28
10,14,66,19
16,15,61,23
10,12,71,17
13,17,62,21
18,15,60,24
15,15,48,37
8,12,66,22
16,15,63,22
12,14,52,34
12,16,45,40
14,17,63,19
16,16,50,34
14,13,63,23
12,15,62,23
11,16,64,19
14,14,64,22
10,12,70,18
18,20,42,38
14,16,63,20
15,11,71,18
11,15,63,22
17,19,56,24
12,16,51,33
11,13,65,22
15,14,67,19
9,12,67,21
14,15,63,23
17,16,44,40
13,16,63,20
11,16,62,22
13,11,67,22
12,13,56,31
13,14,66,20
12,15,65,19
14,11,66,23
17,20,53,27
15,14,51,35
11,12,64,24
14,15,66,19
12,13,59,28
13,13,64,23
11,13,68,19
14,12,68,20
13,14,66,19
12,13,68,19
13,17,62,21
12,16,67,16
13,17,62,21
14,15,56,29
14,10,70,20
13,16,63,21
14,14,62,24
14,16,64,21
12,14,68,17
10,14,68,18
13,16,63,21
10,11,67,23
9,14,71,15
16,17,62,20
18,16,66,18
12,13,66,21
11,18,61,20
14,13,62,25
11,16,66,19
8,16,57,27
17,12,61,27
14,19,55,26
18,12,48,40
12,13,66,21
19,21,52,27
11,11,67,22
14,13,64,23
13,17,43,40
11,10,70,21
12,13,65,22
13,12,67,20
15,16,59,25
16,14,64,22
10,14,68,18
15,14,64,22
12,15,62,23
12,14,64,22
9,13,70,17
19,15,61,24
12,14,63,23
18,17,57,26
10,13,68,19
15,15,52,33
12,16,51,34
12,15,63,22
13,17,58,24
17,16,61,23
12,16,60,24
10,13,60,27
16,13,65,21
14,15,62,23
18,18,56,26
9,15,69,16
12,16,63,21
12,14,65,22
11,15,61,24
16,16,65,20
12,13,66,20
14,16,61,23
9,13,70,17
17,19,60,21
17,16,58,26
11,13,66,21
13,17,62,20
14,15,65,20
16,16,62,22
10,9,72,19
16,13,59,27
12,10,69,21
12,14,65,21
12,14,70,17
13,16,45,39
18,15,63,22
14,16,63,21
16,18,43,39
18,18,54,28
12,11,59,30
14,15,63,22
12,12,61,27
17,21,55,25
11,12,61,27
11,13,59,28
17,13,52,36
13,16,65,18
13,16,64,20
18,18,59,22
16,14,60,26
13,10,61,29
13,16,66,18
12,13,65,22
18,17,50,33
13,15,61,24
15,15,55,30
10,14,67,19
10,10,66,24
13,13,63,23
16,20,54,26
12,17,59,23
14,17,64,19
16,16,63,21
13,13,67,20
15,14,66,20
10,12,59,29
16,14,63,22
13,17,61,22
11,14,63,22
15,10,66,24
14,11,66,23
16,15,60,25
10,10,69,21
11,16,63,21
13,22,42,36
14,16,45,38
16,17,62,20
12,13,68,20
14,13,67,20
13,16,61,23
7,14,64,22
16,16,54,30
12,12,67,21
8,9,69,22
9,14,63,23
12,16,60,24
11,15,64,21
13,13,66,21
12,12,74,14
15,15,61,24
14,20,56,24
15,15,60,24
16,14,63,23
13,17,61,22
14,15,59,26
10,17,63,19
14,17,62,21
9,12,73,15
12,16,60,23
13,13,51,36
12,11,70,18
12,14,64,22
13,16,58,26
12,18,61,21
13,16,61,24
13,15,65,19
10,11,69,20
14,12,64,25
12,14,63,23
15,14,64,22
7,15,67,19
12,16,44,40
18,11,54,34
9,12,68,20
14,13,64,23
14,14,62,24
13,15,64,21
17,18,45,37
11,14,64,22
14,16,57,26
15,15,63,22
17,20,53,27
12,11,68,21
12,15,64,21
10,15,67,18
16,15,60,25
16,11,67,22
17,18,50,32
17,14,62,24
12,15,61,24
13,14,55,31
11,13,65,22
13,14,67,19
11,14,67,19
17,13,67,20
12,15,63,22
13,14,62,23
12,14,67,18
13,13,49,38
10,13,60,27
12,14,67,20
13,17,59,24
14,10,66,24
14,15,66,19
18,19,58,22
8,12,70,17
16,16,57,27
17,18,59,23
12,16,64,20
16,15,59,26
12,13,68,19
10,17,65,17
19,17,51,32
12,16,63,21
13,17,57,26
14,12,63,25
11,15,64,21
14,15,62,23
16,13,53,34
15,14,61,25
12,14,65,21
12,16,53,31
12,15,62,23
12,14,54,32
12,16,61,23
12,14,62,23
14,17,64,19
9,13,67,20
13,11,67,23
13,17,58,24
12,15,64,21
15,15,61,24
12,15,66,18
11,12,66,22
17,16,57,27
13,13,65,22
12,15,62,23
11,14,67,19
18,20,55,25
10,11,69,20
12,17,59,23
13,15,63,22
16,9,62,28
14,13,65,21
15,10,71,19
14,15,59,26
17,15,61,24
12,14,64,21
11,14,68,18
11,15,61,24
10,15,51,34
11,13,71,17
14,13,66,22
13,12,71,17
9,13,68,19
11,12,65,22
13,16,59,25
14,20,58,23
12,12,63,26
15,14,52,34
12,15,60,25
17,14,65,20
15,17,66,18
12,12,67,21
12,12,67,21
10,11,68,21
9,13,63,24
13,19,58,23
13,17,63,20
14,13,65,22
11,11,57,32
13,14,66,19
13,17,62,21
9,15,67,18
15,17,45,38
11,11,70,19
13,15,64,21
15,16,45,38
16,15,63,22
17,21,56,24
16,19,57,24
13,15,60,25
12,13,62,25
17,17,61,22
14,12,68,20
15,20,38,43
8,14,66,19
15,15,62,22
15,16,61,23
17,16,63,21
15,14,64,22
9,9,66,25
15,12,62,26
9,14,63,22
11,12,68,20
12,10,62,28
12,14,66,20
13,15,67,18
9,13,71,16
14,15,65,20
16,14,55,32
14,13,66,20
15,18,58,24
12,11,68,21
15,13,66,21
10,17,60,23
14,18,59,23
12,14,64,21
14,14,62,23
11,16,59,26
15,16,61,23
13,11,65,23
12,13,64,22
13,14,55,31
11,13,65,22
15,16,62,22
19,17,61,22
15,13,60,27
16,19,49,32
13,17,61,22
13,12,65,24
14,15,66,20
12,17,63,20
12,13,68,19
14,16,65,19
14,14,64,22
17,18,61,20
11,15,66,20
14,13,59,28
14,15,62,23
16,19,62,20
14,17,60,23
19,15,64,22
14,10,68,23
16,15,59,26
13,15,66,19
13,17,60,24
12,16,61,24
16,20,42,38
13,14,66,20
13,13,66,21
11,16,62,22
12,17,51,32
16,11,63,26
11,15,57,28
18,20,55,25
17,17,48,35
13,13,58,29
14,17,66,18
11,15,55,30
10,14,60,27
12,16,51,33
12,13,52,35
10,14,62,24
13,14,52,34
11,11,64,25
11,15,68,18
12,9,72,19
13,13,69,18
12,11,71,18
12,13,66,21
17,20,57,23
12,15,60,25
13,15,61,24
14,12,67,21
12,17,62,22
11,16,65,19
16,14,64,22
12,15,65,20
10,12,64,24
