Flir;TemperatureBulbo2(Cm);TemperatureBulbo5(Cm);TemperatureBulbo10(Cm);TemperatureBulbo20(Cm);TemperatureBulbo30(Cm)
25.212;23.2;23.1;22.7;24.6;25.4
32.392;27.9;27.4;26.5;25.8;25.6
20.664;23.1;23.6;24.2;23.1;25.6
21.427;23.4;23.6;24.2;24.9;25.6
26.849;25.3;25.5;25;25.4;25.6
17.439;21.4;21.9;23;24.1;24.6
23.366;22;22.1;22.9;24;24.6
24.802;26.2;25.1;25;24.7;24.7
13.828;19.7;19.9;21.1;23.2;23.6
24.9;21;21;21.6;23.1;23.8
30.661;32.4;31.1;28.6;23.8;23.6
14.327;20.4;20.6;22.1;23.2;23.8
24.685;21.4;21.5;21.3;23.2;23.9
31.573;26.8;26.4;25.2;24.2;24.3
16.358;21.2;21.6;22.6;23.6;24.2
26.259;22.7;22.4;22.8;23.6;24.3
29.11;26.8;26.5;25.4;25;24.7
21.225;22.5;22.6;23.4;23.2;24.6
25.154;23.4;23.3;23.7;24.2;24.6
21.056;23.6;23.5;24.3;24.4;24.6
18.53;21.6;21.7;22.5;23.5;23.8
23.055;22.1;22;22.6;23.4;23.8
22.331;23.4;23.2;23.5;23.6;23.8
14.226;20.6;21.2;22.1;22.9;23.5
23.511;20.9;21.5;22.1;22.7;23.4
28.884;24.6;24;23.5;23.4;23.6
14.226;20;20.2;21.4;22.6;23.2
21.548;20.8;21.2;21.6;22.6;23.2
27.092;25.8;25;24.2;23.6;23.6
14.247;19.3;20.2;21.4;22.6;23.5
23.643;20.7;20.6;22.1;22.6;23.6
25.342;25.2;24.5;24.3;23.5;23.7
14.024;19.8;20.1;21.6;22.6;23.6
24.926;20.6;20.8;21.6;22.6;23.5
31.321;25.8;25.4;24.5;23.7;23.6
15.764;20.6;20.6;21.7;22.8;23.5
20.915;21;21.2;22.1;22.8;23.6
30.308;25.4;24.9;24;23.6;23.6
16.767;19.7;20.2;21.6;22.6;23.3
26.728;21.2;21.2;21.6;22.6;23.3
31.885;26.4;25.4;24.4;23.7;23.6
17.425;20.6;21.2;22.2;23.1;23.6
21.769;21.3;21.4;22.2;23;23.5
31.105;25.7;25.5;24.4;24;23.9
31.346;21.7;21.8;22.7;23.5;23.8
21.977;22.2;22.2;22.7;23.4;23.9
19.438;24.6;24.6;23.9;23.8;23.9
13.182;19.2;19.4;21.1;22.5;23.2
26.766;20.2;20.2;21.2;22.4;23.1
31.136;25.6;24.6;24.1;23.4;23.5
14.19;18.8;19.5;21;22.7;23
20.942;19.7;19.7;20.6;22.4;23
35.869;25.6;24.7;23.8;23.1;23.1
13.51;18.1;18.7;20.5;21.9;22.7
23.458;19.7;19.9;20.4;21.6;22.6
29.467;25;24.4;23.6;23.1;23.2
11.099;17.4;17.9;19.7;21.6;22.5
23.273;18.8;18.8;19.7;21.5;22.5
30.815;24.6;23.6;23.1;23.6;22.7
13.117;18.6;18.8;20.3;21.6;22.5
23.531;19.6;19.6;20.4;21.6;22.5
29.192;24.2;23.3;22.6;22.4;22.6
14.096;18.9;19.5;21.1;22.6;22.6
24.437;19.8;19.7;20.6;22.4;22.6
30.717;24.6;23.7;23.1;22.7;22.8
14.499;18.8;19.1;20.6;22;22.6
25.186;19.7;19.7;20.5;21.93;22.6
30.865;25.4;24.7;23.5;22.8;22.9
12.179;18.8;19.2;21;22.2;22.6
24.254;19.7;19.4;20.6;23.2;22.6
27.602;25.2;24.7;23.6;23.2;23.1
16.732;20;20.5;21.2;22.7;22.8
19.102;20.4;20.7;22.5;22.2;22.8
23.465;22.7;22.5;22.6;22.8;23.2
19.246;21;21.2;21.6;22.4;22.7
19.102;22.2;22;21.7;22.4;22.7
27.366;26.4;25.5;24.2;23.4;23.2
19.246;21.4;21.4;22.2;23.2;23.4
19.102;21.8;22;22.3;23.2;23.4
27.366;25.5;24.9;24.2;23.7;23.6
16.323;20;20.2;21.6;22.7;23.4
25.95;21;20.6;21.8;23.7;23.4
33.719;26.5;25.4;24.4;23.6;23.6
17.349;20.5;21;22.2;23;23.5
24.561;21.6;21.6;22.1;23;23.4
21.151;23.8;23.6;23.4;23.4;23.4
17.864;20.4;20.5;21.2;21.9;22.6
20.38;20.8;20.9;21.4;21.8;22.5
25.322;23.4;23.5;22.8;22.8;22.8
16.464;19.7;20.2;21.2;21.8;22.5
20.549;20.2;20.3;21.1;21.7;22.3
25.017;24.6;24.1;23.1;22.5;22.6
19.971;21.6;21.8;22.4;22.6;22.8
24.103;22.2;22.3;22.5;22.7;23
25.717;24.6;24.4;23.7;23;23.2
19.047;21.2;21.5;22;22.5;22.9
23.715;21.7;22.1;22.2;22.6;22.7
27.887;25.8;25.1;24.2;23.4;23.2
13.51;20;20.3;21.6;22.5;23
17.174;20.4;20.5;21.4;22.4;22.9
31.524;25.7;24.6;23.6;23.1;22.9
13.284;19.6;20.2;21.6;22.4;22.7
22.796;20.8;20.5;21.6;22.4;22.7
30.704;26;25.1;24.1;23.2;23
16.696;19.7;20.6;21.6;22.6;23.1
25.277;21.2;21.3;21.6;22.4;23
26.15;26.1;25.4;23.4;23.6;27.6
17.174;20.5;21;21.8;22.6;23.1
26.843;21.4;21.4;22.2;22.6;23.2
31.346;26.4;25.6;24.3;23.5;23.4
14.772;20.4;20.7;22;22.7;23.3
24.358;21.1;21.2;22.1;23.7;23.3
32.27;26.1;25.4;24.3;23.5;23.6
17.697;19.8;20.4;21.7;22.8;23.3
20.094;21.2;21.6;22.4;22.7;23.4
28.254;25.7;24.7;23.6;23.5;23.4
12.268;19;19.3;20.6;22.3;22.7
25.724;20.4;20.2;20.6;22.2;22.7
26.162;24.9;24.2;23.5;22.9;23
11.559;18.8;19.2;20.6;21.8;22.6
24.965;20;20;20.6;21.7;22.6
28.204;24.7;23.6;23.2;22.7;22.6
12.179;18.5;18.6;20.4;21.6;22.4
24.28;19.8;19.6;20.4;21.6;22.2
29.448;24;23.4;23;22.4;22.6
17.823;20.3;20.3;21.1;21.6;22.3
21.11;20.6;20.6;21.3;21.6;22.3
19.205;21.6;21.6;22;22.2;22.3
7.885;17.2;16.6;19.3;21.3;21.5
17.16;17.7;18;19.3;20.6;21.6
27.608;22;21.4;21.4;21.4;21.6
7.847;16.3;16.4;18.5;20.2;21.2
21.211;17;17.2;18.4;19.8;21.2
30.407;23;22.4;21.5;21;21.3
12.613;16.9;17.4;19.2;20.8;21.8
26.047;18.4;18.5;19.3;20.8;21.7
30.376;23.4;23.3;22.3;22.1;21.9
13.857;18.9;19.2;20.4;21.4;21.6
25.413;19.7;20.2;20.4;21.4;21.6
33.194;24.4;24.2;23;22.2;22.3
13;19.6;19.7;21;21.7;22.2
25.238;19.8;20.3;20.6;22.4;22.5
32.203;24.7;24.2;23.2;22.6;22.6
13.988;19.2;19.2;20.5;22;22.4
23.689;19.7;19.7;20.7;22.1;22.4
31.922;24.7;24.2;23.2;22.7;22.6
12.121;18.6;18.7;20.4;21.6;22.2
24.978;19.6;19.4;20.5;21.6;22.2
30.704;23.6;23.2;22.6;22.3;22.4
15.387;19.6;19.7;21.3;21.7;22.4
26.708;20.4;20.2;20.9;21.7;22.4
15.92;21.4;21.6;22.2;22.2;22.3
3.693;15.5;15.8;18.6;20.4;21.4
16.401;16.4;16.6;18.2;20;21.4
26.74;20.8;20.2;20.4;20.6;21.2
4.087;13.5;13.8;17.2;18.7;19.4
16.612;14.2;14.4;16.5;18.6;19.6
27.277;20.4;20.3;19.6;19.5;19.8
10.308;16.2;16.3;17.6;19.2;20.2
19.287;16.8;17.1;18;19.2;20
19.76;19.2;18.9;19;19.4;20
13.102;17;17.2;18.2;19;19.7
20.603;17.6;17.4;18.1;19.1;19.8
21.669;21.6;21.4;20.4;20.2;20.3
11.448;17;17.2;18.6;19.6;20.3
23.386;17.8;17.6;18.6;19.6;20.4
29.261;22.7;21.6;21.8;21.6;21.6
13.393;16.2;16.4;18.2;19.6;20.4
20.549;17.2;17.1;18.3;19.5;20.3
29.054;21.6;20.6;20.4;20.5;20.6
7.631;15.2;14.8;17.5;18.7;19.5
22.244;16;15.8;16.9;18.8;19.8
29.217;28.2;21.3;20.4;20;20.2
7.716;15.4;15.6;17.6;19;20
21.977;16.4;16.3;17.4;19.2;19.8
29.835;22.2;21.6;20.6;20.4;20.4
7.19;15.4;15.6;17.7;18.4;19.8
20.087;16.6;17;17.7;19.2;19.7
30.717;22.1;21.6;20.6;20.5;20.4
12.503;17.8;17.6;19.2;19.7;20.4
24.07;18.3;18.2;19.1;19.8;20.6
31.438;22.7;22.2;21.5;20.9;20.7
13.597;17.2;17.3;19;20.2;20.6
19.335;18.5;18.4;19;19.7;20.7
36.224;22.6;22.1;21.3;20.8;20.8
10.921;17.1;17.1;18.6;19.7;20.6
21.95;17.6;17.4;18.6;19.7;20.6
29.536;22;21.2;20.8;20.6;20.7
8.902;16.4;16.6;18.6;19.7;20.4
21.434;17.1;17.2;18.4;19.6;20.5
28.922;21.7;21.1;20.6;20.4;20.5
9.373;15.7;16.1;18;19.4;20.4
23.932;16.9;16.8;18.2;19.4;20.4
30.047;21.6;21.4;20.5;20.3;20.4
6.849;14.9;14.8;17.5;19.1;19.6
19.514;15.7;15.6;16.5;18.9;19.8
32.794;21.3;20.4;20.2;19.7;20
3.669;15.1;15.2;17.2;18.7;19.6
19.514;15.7;15.6;17.2;18.6;19.6
30.345;21;20.2;19.7;19.6;19.6
6.849;14.4;14.6;17.2;18.6;19.4
24.017;15.5;15.4;17.1;19.3;19.2
34.68;21;20.4;19.6;19.4;19.7
9.524;15.3;15.2;17.2;18.4;19.3
19.123;15.7;15.5;27.5;18.6;19.6
29.661;21.4;20.7;19.8;19.6;19.7
5.659;15;15.2;17.1;18.6;19.4
21.043;15.7;15.6;16.9;18.4;19.4
25.394;21.9;21.3;20.4;19.7;19.6
7.739;15.4;15.6;17.4;18.7;19.4
25.193;16.3;16.2;17.4;18.7;19.6
30.401;22.2;21.5;20.4;20;20
7.167;15.8;16;17.6;19;19.7
22.584;16.4;16.4;17.7;19.2;19.6
27.532;22.4;21.6;21;20.3;20.2
7.885;16.6;16.7;18.6;19.7;20.4
25.943;17.4;17.2;17.6;19.6;20.3
29.116;22.4;21.5;21;20.5;20.4
12.179;16.3;16.6;18.5;19.6;20.6
16.16;16.7;16.6;18.1;19.5;20.4
30.519;21.2;20.4;20.4;20.5;20.6
5.895;16.3;16.6;18.5;19.6;20.6
19.746;16.7;16.6;18.1;19.5;20.4
28.475;21.2;20.4;20.4;20.5;20.6
2.536;13.2;13.5;15.4;17.8;18.9
18.281;13.9;14.2;26.1;17.7;18.7
26.625;13.2;18.5;18.4;18.7;18.9
5.178;13;13.4;15.8;17.7;18.4
17.16;13.7;13.6;15.9;17.6;18.4
30.215;19.2;18.5;18.4;18.4;18.8
3.185;12.7;13.3;15.5;17.4;17.8
20.366;13.7;13.6;15.5;17.2;18.1
21.957;19.7;19.4;18.5;18.3;18.5
8.506;14.7;14.5;16.2;17.5;18.4
19.466;15.5;15.6;16.5;18.6;18.5
27.188;20.8;20.5;18.8;18.6;18.9
5.573;14.7;14.6;16.6;18.1;18.7
22.81;15.4;15.4;16.6;17.8;18.7
31.142;21.4;20.7;19.3;18.9;19.1
8.238;14.7;14.6;16.7;18.3;18.6
23.452;15.5;15.6;16.8;18.4;18.7
32.563;21.6;21.3;19.8;19.2;19
7.585;14.4;14.6;16.5;18.5;18.8
18.399;15.7;15.6;16.8;18.1;18.8
34.704;22.1;21.6;20.8;19.6;18.7
7.893;15.2;15.4;17.4;18.4;19.3
24.391;16.2;16.1;17.3;18.7;19.1
36.194;22.7;21.9;20.6;19.7;19.6
6.802;14.8;15.2;17.4;18.7;19.6
23.359;16.1;15.7;17.3;18.7;19.6
34.05;22.5;21.8;20.6;19.7;19.4
3.734;14.7;14.7;17.4;18.4;19.4
23.899;15.6;15.5;17.2;18.6;19.4
35.324;22.4;21.4;20.4;19.5;19.7
7.43;14.4;14.6;17.1;18.6;19.3
22.331;15.7;15.8;17.2;18.4;19.4
34.823;22;21.7;20.4;19.6;19.5
4.67;14.7;14.6;16.9;18.5;19.3
23.899;16.4;15.5;17.1;18.5;19.2
30.202;21.6;21.3;19.8;19.4;19.4
11.973;14.7;14.8;17.2;18.4;19.4
22.424;15.8;15.9;17.3;18.5;19.4
39.023;22;21.7;19.8;19.6;19.5
7.252;15.1;15.4;17.6;18.8;19.6
25.219;16.3;16;17.5;18.8;19.5
36.064;22.7;22.2;21.2;19.8;19.6
9.085;15.7;15.8;17.6;19;19.7
12.664;15.8;15.9;17.4;18.8;19.4
22.371;19.1;18.7;18.6;18.9;19.4
7.213;14.6;14.8;16.6;18.4;18.8
13.836;15.2;15.2;16.6;18.2;19
32.952;21.8;21;19.4;18.8;19.1
7.306;14.8;14.7;17;18.4;19.1
17.816;15.6;15.5;16.7;18.2;18.9
40.411;22.7;22.2;20.4;19.6;19.4
8.971;15.7;16;17.5;18.8;19.4
27.912;16.8;16.5;17.6;19.7;19.6
38.208;23.6;22.6;21.2;20.2;19.8
4.916;15.2;15.2;17.2;18.7;19.8
22.451;16.6;16.5;17.2;18.7;19.9
39.386;23.7;23.6;21.6;20.6;20.3
9.713;17.7;17.8;19.1;20.4;20.6
26.522;18.8;18.9;19.4;20.4;21.3
34.195;25.4;25.6;23.2;22.2;22.1
4.821;17.2;17.3;19;20.6;21.3
26.625;19.3;19;19.3;20.4;21.3
40.383;25.2;25.2;23.6;22;21.6
9.055;16.7;16.8;19.7;20.4;21.2
29.417;18.6;18.4;19;20.4;21.2
38.092;25.6;25.4;23.6;22;21.4
7.716;17.7;17.5;18.7;21;22.2
26.599;18.6;18.6;18.8;20.8;22
33.798;26.8;26.8;24.6;22.7;22.1
6.185;17.2;17.4;19.3;20.8;21.6
27.455;18.7;18.6;19.6;21;21.7
37.211;27.6;27.2;23.4;23.6;23.2
7.793;17.1;17;19.4;21.1;21.8
24.913;19.2;19.1;19.6;20.8;21.6
33.719;27.8;27.4;23.6;22.7;22.1
2.902;17;17.1;19.4;21.2;22.1
25.892;19.6;19.2;19.6;21.1;23
34.008;28.9;28.4;25.2;22.8;22.5
8.023;17.7;17.8;20.3;21.6;22.3
25.924;20.2;20;20.4;21.6;22.3
35.614;34.6;29.1;25.4;23.6;22.8
5.075;18.6;18.5;20.6;22.2;22.6
30.221;20.6;20.4;20.54;22.2;22.6
38.66;29.1;28.6;25.6;23.6;23.2
