"Carimbo de data/hora","1) Qual é seu custo fixo em Jaboticabal ? (Se vc não sabe coloque um valor aproximado)","2) Mestrado/ Doutorado ?"
"2018/08/21 10:00:43 AM GMT-3","1.500","Doutorado"
"2018/08/21 10:00:47 AM GMT-3","1200","Doutorado"
"2018/08/21 10:00:50 AM GMT-3","400.00","Doutorado"
"2018/08/21 10:00:50 AM GMT-3","800.00","Doutorado"
"2018/08/21 10:00:50 AM GMT-3","650","Mestrado"
"2018/08/21 10:00:53 AM GMT-3","700.00","Doutorado"
"2018/08/21 10:01:00 AM GMT-3","500","Mestrado"
"2018/08/21 10:01:02 AM GMT-3","800","Doutorado"
"2018/08/21 10:01:04 AM GMT-3","2.600","Doutorado"
"2018/08/21 10:01:09 AM GMT-3","650","Doutorado"
"2018/08/21 10:01:11 AM GMT-3","2500","Mestrado"
"2018/08/21 10:01:11 AM GMT-3","550","Doutorado"
"2018/08/21 10:01:11 AM GMT-3","900","Doutorado"
"2018/08/21 10:01:11 AM GMT-3","1.000 ","Mestrado"
"2018/08/21 10:01:12 AM GMT-3","1000","Doutorado"
"2018/08/21 10:01:12 AM GMT-3","1.600","Mestrado"
"2018/08/21 10:01:12 AM GMT-3","500","Mestrado"
"2018/08/21 10:01:12 AM GMT-3","1300","Mestrado"
"2018/08/21 10:01:13 AM GMT-3","700","Doutorado"
"2018/08/21 10:01:14 AM GMT-3","700","Doutorado"
"2018/08/21 10:01:15 AM GMT-3","1000","Doutorado"
"2018/08/21 10:01:18 AM GMT-3","900","Mestrado"
"2018/08/21 10:01:18 AM GMT-3","1000","Doutorado"
"2018/08/21 10:01:21 AM GMT-3","900","Doutorado"
"2018/08/21 10:01:21 AM GMT-3","1050","Doutorado"
"2018/08/21 10:01:23 AM GMT-3","1200","Doutorado"
"2018/08/21 10:01:25 AM GMT-3","2000","Doutorado"
"2018/08/21 10:01:28 AM GMT-3","550.00","Doutorado"
"2018/08/21 10:01:28 AM GMT-3","1500","Mestrado"
"2018/08/21 10:01:30 AM GMT-3","1900","Doutorado"
"2018/08/21 10:01:31 AM GMT-3","1.5000","Mestrado"
"2018/08/21 10:01:31 AM GMT-3","1500","Doutorado"
"2018/08/21 10:01:32 AM GMT-3","1600","Mestrado"
"2018/08/21 10:01:40 AM GMT-3","1800","Doutorado"
"2018/08/21 10:01:45 AM GMT-3","1.600","Mestrado"
"2018/08/21 10:01:51 AM GMT-3","1500","Mestrado"
"2018/08/21 10:02:26 AM GMT-3","1400","Mestrado"
"2018/08/21 10:04:03 AM GMT-3","850","Doutorado"
"2018/08/21 10:04:25 AM GMT-3","1300","Mestrado"
"2018/08/21 10:19:29 AM GMT-3","1000","Mestrado"
